NLMUID,Medline_Title,Medline_Title_Abbreviation,ISSN,eISSN,Full_Text_Start_Date,Full_Text_End_Date
101605827,Rhode Island Medical Journal,R I Med J (2013),3637913,23272228,1/1/2013 0:00,
101497477,Journal of Evidence-based Medicine,J Evid Based Med,17565391,17565391,1/1/2011 0:00,
101462768,BMC Research Notes,BMC Res Notes,,17560500,1/1/2012 0:00,
101585359,Frontiers in Cellular and Infection Microbiology,Front Cell Infect Microbiol,,22352988,,
101564974,Biomatter,Biomatter,21592527,21592535,10/1/2011 0:00,7/25/2015 0:00
9610936,Molecules and Cells,Mol Cells,10168478,,1/1/1997 0:00,12/31/2013 0:00
101144973,Chinese journal of schistosomiasis control / Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,10056661,,1/1/2012 0:00,
217410,"Journal of Nuclear Medicine: official Publication, Society of Nuclear Medicine",J Nucl Med,1615505,15355667,3/1/1973 0:00,12/31/1977 0:00
217410,"Journal of Nuclear Medicine: official Publication, Society of Nuclear Medicine",J Nucl Med,1615505,15355667,1/1/1968 0:00,2/28/1973 0:00
101602699,Urolithiasis,Urolithiasis,21947228,21947236,1/1/2013 0:00,
217410,"Journal of Nuclear Medicine: official Publication, Society of Nuclear Medicine",J Nucl Med,1615505,15355667,1/1/1966 0:00,12/31/1967 0:00
101581613,Advanced Healthcare Materials,Adv Healthc Mater,21922640,21922659,4/1/2014 0:00,
8807334,Mycotoxin Research,Mycotoxin Res,1787888,18671632,5/1/2014 0:00,
101578022,Stem Cells Translational Medicine,Stem Cells Transl Med,21576564,21576580,11/1/2013 0:00,
2984789R,Scandinavian Journal of Clinical and Laboratory Investigation. Supplementum,Scand J Clin Lab Invest Suppl,0085591X,,1/1/2010 0:00,
101587185,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,Amyotroph Lateral Scler Frontotemporal Degener,21678421,21679223,1/1/2013 0:00,
101631999,NPJ Primary Care Respiratory Medicine,NPJ Prim Care Respir Med,,20551010,5/1/2014 0:00,
101632059,Report on Carcinogens. Monograph on …,Rep Carcinog Monogr,,2331267X,1/1/2013 0:00,
101636421,Developmental Period Medicine,Dev Period Med,1428345X,,1/1/2014 0:00,
101299403,Libyan Journal of Medicine,Libyan J Med,19932820,18196357,1/1/2012 0:00,
101261852,Journal of Oncology Practice,J Oncol Pract,15547477,1935469X,1/1/2012 0:00,
101526295,Journal of Obesity,J Obes,20900708,20900716,1/1/2010 0:00,
101153624,Harm Reduction Journal,Harm Reduct J,,14777517,1/1/2012 0:00,
101587186,Scandinavian Journal of Urology,Scand J Urol,21681805,21681813,2/1/2013 0:00,
101585129,Andrology,Andrology,20472919,20472927,1/1/2013 0:00,
101588314,MicrobiologyOpen,Microbiologyopen,,20458827,4/1/2014 0:00,
101580524,Journal of the American Heart Association,J Am Heart Assoc,,20479980,,
101597444,Medical Science Monitor: Basic Research,Med Sci Monit Basic Res,23254394,23254416,8/1/2015 0:00,
9422751,Archives of Pediatrics and Adolescent Medicine,Arch Pediatr Adolesc Med,10724710,15383628,1/1/1998 0:00,12/31/2012 0:00
101589544,AMA Pediatrics,JAMA Pediatr,21686203,21686211,1/1/2013 0:00,
101652981,Anatolian Journal of Cardiology,Anatol J Cardiol,21492263,21492271,1/1/2015 0:00,
101674352,nternational Journal of Health Economics and Management,Int J Health Econ Manag,21999023,21999031,1/1/2015 0:00,
101669124,New Directions for Student Leadership,New Dir Stud Leadersh,23733349,23733357,1/1/2015 0:00,
101662218,Physician Leadership Journal,Physician Leadersh J,23744030,,9/1/2014 0:00,
101659451,Journal of Family Health,H Fam Health,20587554,,3/1/2015 0:00,
101201025,Maternal &amp; child nutrition,Matern Child Nutr,17408695,17408709,1/1/2005 0:00,
9110958,Psychotherapy research : journal of the Society for Psychotherapy Research,Psychother Res,10503307,14684381,1/1/2007 0:00,
101130981,Canadian bulletin of medical history = Bulletin canadien d'histoire de la medecine,Can Bull Med Hist,8232105,,6/1/2007 0:00,
101194794,Acta of bioengineering and biomechanics,Acta Bioeng Biomech,1509409X,,1/1/2007 0:00,
101623613,Canadian Journal of Gastroenterology and Hepatology,Can J Gastroenterol Hepatol,22912789,22912797,1/1/2014 0:00,
101127723,MGMA Connexion / Medical Group Management Association,MGMA Connex,15370240,,1/1/2014 0:00,
8204468,Drug Development Research,Drug Dev Res,2724391,,2/1/2014 0:00,
101281800,Einstein,Einstein (Sao Paulo),16794508,,1/1/2012 0:00,
101256323,Global public health,Glob Public Health,17441692,17441706,2/1/2006 0:00,
411361,Science progress,Sci Prog,368504,,12/1/2009 0:00,
101238922,PLoS computational biology,PLoS Comput Biol,1553734X,15537358,6/1/2005 0:00,
8704892,IMA Journal of Mathematics Applied in Medicine and Biology,IMA J Math Appl Med Biol,2650746,,1/1/1996 0:00,12/31/2002 0:00
101624414,Global Health: Science and Practice,Glob Health Sci Pract,,2169575X,8/1/2015 0:00,
101623246,CoDAS,Codas,,23171782,1/1/2013 0:00,
101627166,Journal of Immunology Research,J Immunol Res,23148861,23147156,1/1/2014 0:00,
101239074,PLoS genetics,PLoS Genet,15537390,15537404,7/1/2005 0:00,
101238921,PLoS pathogens,PLoS Pathog,15537366,15537374,9/1/2005 0:00,
101241430,Asia-Pacific journal of clinical oncology,Asia Pac J Clin Oncol,17437555,17437563,1/1/2010 0:00,
100895975,"Revista brasileira de psiquiatria : orgao oficial da Associacao Brasileira de Psiquiatria, Asociacion Psiquiatrica de la America Latina",Rev Bras Psiquiatr,15164446,1809452X,1/1/2007 0:00,
100936348,Revista de salud publica,Rev Salud Publica (Bogota),1240064,,1/1/2006 0:00,
101235219,Journal of social work in end-of-life &amp; palliative care,J Soc Work End Life Palliat Care,15524256,15524264,3/1/2005 0:00,
101123037,Australian journal of primary health,Aust J Prim Health,14487527,18367399,1/1/2010 0:00,
101241032,Acta medico-historica adriatica : AMHA,Acta Med Hist Adriat,13344366,13346253,1/1/2008 0:00,
101266892,Cutaneous and ocular toxicology,Cutan Ocul Toxicol,15569527,15569535,1/1/2006 0:00,
101180799,Tort trial &amp; insurance practice law journal,Tort Trial Insur Pract Law J,15433234,,3/1/2008 0:00,
2985113R,Journal of genetics,J Genet,221333,9737731,4/1/2006 0:00,
9604100,Journal of health communication,J Health Commun,10810730,10870415,2/1/1996 0:00,
9603446,"Medicine and health, Rhode Island",Med Health R I,10865462,,6/1/2009 0:00,12/31/2012 0:00
101279009,Social neuroscience,Soc Neurosci,17470919,17470927,3/1/2006 0:00,
101204366,Sensors,Sensors (Basel),14248220,14248220,6/1/2010 0:00,
101492420,Integrative zoology,Integr Zool,17494869,17494877,1/1/2009 0:00,
9891709,American University law review,Am Univ Law Rev,31453,,1/1/2011 0:00,
101189384,Psicothema,Psicothema,2149915,1886144X,1/1/2007 0:00,
101274844,Experimental diabetes research,Exp Diabetes Res,16875214,16875303,1/1/2007 0:00,12/31/2012 0:00
101279357,Computational intelligence and neuroscience,Comput Intell Neurosci,16875265,16875273,1/1/2007 0:00,
57764,Osiris,Osiris,3697827,,1/1/1999 0:00,
101275679,Biointerphases,Biointerphases,19348630,15594106,3/1/2010 0:00,
100883417,Neural plasticity,Neural Plast,20905904,16875443,1/1/2007 0:00,
2985249R,Medicinski pregled,Med Pregl,258105,,7/1/2006 0:00,
101227566,Revista peruana de medicina experimental y salud publica,Rev Peru Med Exp Salud Publica,17264634,17264642,1/1/2010 0:00,
101249725,HIV/AIDS policy &amp; law review,HIV AIDS Policy Law Rev,1712624X,,12/1/2004 0:00,12/31/2011 0:00
101277751,Computational and mathematical methods in medicine,Comput Math Methods Med,1748670X,17486718,1/1/2010 0:00,
101120023,world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,World J Biol Psychiatry,15622975,18141412,1/1/2007 0:00,
101320027,Early intervention in psychiatry,Early Interv Psychiatry,17517885,17517893,2/1/2007 0:00,
101304007,Influenza and other respiratory viruses,Influenza Other Respi Viruses,17502640,17502659,1/1/2007 0:00,
101189513,"Prilozi / Makedonska Akademija na Naukite i Umetnostite, Oddelenie za Bioloski i Medicinski Nauki / Contributions / Macedonian Academy of Sciences & Arts, Section of Biological & Medical Sciences",Prilozi,3513254,,3/1/2007 0:00,9/30/2013 0:00
101315570,clinical respiratory journal,Clin Respir J,17526981,1752699X,7/1/2007 0:00,
101468753,Journal of neuropsychology,J Neuropsychol,17486645,17486653,3/1/2007 0:00,
101258412,Biology direct,Biol Direct,,17456150,1/1/2006 0:00,
101301827,BMC systems biology,BMC Syst Biol,,17520509,1/1/2007 0:00,
101245792,Head &amp; face medicine,Head Face Med,,1746160X,1/1/2005 0:00,
101265113,Journal of cardiothoracic surgery,J Cardiothorac Surg,,17498090,3/1/2006 0:00,
101245794,Journal of ethnobiology and ethnomedicine,J Ethnobiol Ethnomed,,17464269,7/1/2005 0:00,
101605237,Journal of Diabetes Research,J Diabetes Res,23146745,23146753,1/1/2013 0:00,
101608980,NTP Monograph,NTP Monogr,23301279,,6/1/2012 0:00,6/30/2012 0:00
101530790,Arab Journal of Nephrology and Transplantation,Arab J Nephrol Transplant,1858554X,,5/1/2011 0:00,
370605,Arthritis and Rheumatism,Arthritis Rheum,43591,15290131,1/1/2012 0:00,12/31/2013 0:00
101595834,Microscopy,Microscopy (Oxf),20505698,20505701,2/1/2013 0:00,
101535763,International Journal of Occupational & Environmental Medicine,Int J Occup Environ Med,20086520,20086814,1/1/2010 0:00,
101286574,Neural development,Neural Dev,,17498104,1/1/2006 0:00,
101266602,Orphanet journal of rare diseases,Orphanet J Rare Dis,,17501172,3/1/2006 0:00,
101258058,"Philosophy, ethics, and humanities in medicine : PEHM",Philos Ethics Humanit Med,,17475341,1/1/2006 0:00,
101265111,Radiation oncology,Radiat Oncol,,1748717X,1/1/2006 0:00,
101258060,"Substance abuse treatment, prevention, and policy",Subst Abuse Treat Prev Policy,,1747597X,1/1/2006 0:00,
101263253,Trials,Trials,,17456215,1/1/2009 0:00,
